Symbol,Sector,Industry,NoEmployees,Profile
OHI,Real Estate,REIT - Healthcare Facilities,60,Omega Healthcare Investors Inc is a Real Estate Investment Trust REIT providing financing and capital to the longterm healthcare industry with a particular focus on skilled nursing facilities located in the United States and the United Kingdom As of September 30 2024 Omega has a portfolio of investments that includes 962 operating facilities located in 42 states and the UK 206 facilities and operated by 81 different operators As a source of capital to the healthcare industry Omega continually evaluates the opportunities trends and challenges affecting the industry Our goal is to identify longterm investments in quality healthcare properties with outstanding operators that provide the most favorable riskreward ratio to our investors
OI,Consumer Cyclical,Packaging & Containers,21000,OI Glass Inc through its subsidiaries engages in the manufacture and sale of glass containers to food and beverage manufacturers primarily in the Americas Europe and internationally The company produces glass containers for alcoholic beverages including beer flavored malt beverages spirits and wine It is also involved in the production of glass packaging for various food items soft drinks tea juices and pharmaceuticals In addition the company offers glass containers in a range of sizes shapes and colors It sells its products directly to customers under annual or multiyear supply agreements as well as through distributors OI Glass Inc was founded in 1903 and is based in Perrysburg Ohio
OII,Energy,Oil & Gas Equipment & Services,None,Oceaneering International Inc provides engineered services and products and robotic solutions to the offshore energy defense aerospace manufacturing and entertainment industries worldwide It operates through Subsea Robotics Manufactured Products Offshore Projects Group Integrity Management  Digital Solutions and Aerospace and Defense Technologies segments The company offers remotely operated vehicles ROVs for drill support and vesselbased services including subsea hardware installation construction pipeline inspection survey and facilities inspection maintenance and repair ROV tooling and survey services such as hydrographic survey positioning services and autonomous underwater vehicles for geoscience It also provides distribution and connection systems including production control umbilicals and field development hardware pipeline connection and repair systems to the energy industry and autonomous mobile robotic technology and entertainment systems to various industries In addition the company offers subsea installation and intervention including riserless light well intervention inspection maintenance and repair services installation and workover control systems and ROV workover control systems diving services project management and engineering and drill pipe riser services and systems and wellhead load relief solutions Further it provides asset integrity management software and analytical solutions for the bulk cargo maritime industry and software digital and connectivity solutions for the energy industry as well as government services and products including engineering and related manufacturing in defense and space exploration activities to the United States government agencies and their prime contractors Oceaneering International Inc was founded in 1964 and is headquartered in Houston Texas
OKE,Energy,Oil & Gas Midstream,4775,ONEOK Inc engages in gathering processing fractionation storage transportation and marketing of natural gas and natural gas liquids NGL in the United States It operates through four segments Natural Gas Gathering and Processing Natural Gas Liquids Natural Gas Pipelines and Refined Products and Crude The company owns natural gas gathering pipelines and processing plants in the MidContinent and Rocky Mountain regions and provides midstream services to producers of NGLs It also owns NGL gathering and distribution pipelines in Oklahoma Kansas Texas New Mexico Montana North Dakota Wyoming and Colorado terminal and storage facilities in Kansas Nebraska Iowa and Illinois NGL distribution pipelines in Kansas Nebraska Iowa Illinois and Indiana transports refined petroleum products including unleaded gasoline and diesel and owns and operates truck and railloading and unloading facilities connected to NGL fractionation storage and pipeline assets In addition the company transports and stores natural gas through regulated interstate and intrastate natural gas transmission pipelines and natural gas storage facilities Further it owns and operates a parking garage in downtown Tulsa Oklahoma and leases excess office space and rail cars Additionally the company transports stores and distributes refined products NGLs and crude oil as well as conducts commodityrelated activities including liquids blending and marketing activities It serves integrated and independent exploration and production companies other NGL and natural gas gathering and processing companies crude oil and natural gas production companies utilities industrial companies natural gasoline distributors propane distributors municipalities ethanol producers petrochemical refining and marketing companies and heating fuel users refineries and exporters ONEOK Inc was founded in 1906 and is headquartered in Tulsa Oklahoma
OKLO,Utilities,Utilities - Regulated Electric,78,Oklo Inc designs and develops fission power plants to provide reliable and commercialscale energy to customers in the United States It also provides used nuclear fuel recycling services The company was founded in 2013 and is based in Santa Clara California
OKTA,Technology,Software - Infrastructure,5908,Okta Inc operates as an identity partner in the United States and internationally The company offers Oktas suite of products and services used to manage and secure identities such as Single SignOn that enables users to access applications in the cloud or onpremises from various devices Adaptive MultiFactor Authentication provides a layer of security for cloud mobile web applications and data API Access Management enables organizations to secure APIs Access Gateway enables organizations to extend Workforce Identity Cloud and Okta Device Access enables end users to securely log in to devices with Okta credentials It also provides Universal Directory a cloudbased system of record to store and secure user application and device profiles for an organization Lifecycle Management enables IT organizations or developers to manage a users identity throughout its lifecycle Okta Identity Governance provides identity access management and identity governance solutions Advanced Server Access offers access management to secure cloud infrastructure Okta Privileged Access enables organizations to reduce risk with unified access and governance management for onpremises and cloud resources and Okta Workforce Identity Workflows In addition the company offers Universal Login which allows customers to provide login experience across different applications and devices and Attack Protection a suite of security capabilities that protects customers from different types of malicious traffic Further it provides Adaptive MultiFactor Authentication Passwordless Machine to Machine Private Cloud Organizations Actions and Extensibility and Enterprise Connections The company sells its products directly to customers through sales force and channel partners The company was formerly known as Saasure Inc Okta Inc was incorporated in 2009 and is headquartered in San Francisco California
OLED,Technology,Electronic Components,468,Universal Display Corporation engages in the research development and commercialization of organic light emitting diode OLED technologies and materials for use in display and solidstate lighting applications in the United States and internationally The company offers PHOLED technologies and materials for displays and lighting products under the UniversalPHOLED brand It is also involved in the research development and commercialization of other OLED device and manufacturing technologies including FOLED that are flexible OLEDs for the fabrication of OLEDs on flexible substrates and OVJP an organic vapor jet printing technology In addition the company provides technology development and support services including thirdparty collaboration and support to third parties for the commercialization of their OLED products and contract research services in the areas of chemical synthesis research development and commercialization for nonOLED applications as well as engages in the intellectual property and technology licensing activities Universal Display Corporation was founded in 1985 and is headquartered in Ewing New Jersey
OLLI,Consumer Defensive,Discount Stores,5500,Ollies Bargain Outlet Holdings Inc operates as a retailer of brand name merchandise in the United States The company offers housewares bed and bath food floor coverings health and beauty aids books and stationery toys and electronics and other products including hardware candy clothing sporting goods pet and lawn and garden products It provides its products primarily under the Ollies Ollies Bargain Outlet Good Stuff Cheap Ollies Army Real Brands Real Cheap Real Brands Real Bargains Sarasota Breeze Steelton Tools American Way and Middleton Home names The company was formerly known as Bargain Holdings Inc and changed its name to Ollies Bargain Outlet Holdings Inc in March 2015 The company was founded in 1982 and is headquartered in Harrisburg Pennsylvania
OLN,Basic Materials,Chemicals,None,Olin Corporation manufactures and distributes chemical products in the United States Europe Asia Pacific Latin America and Canada It operates through three segments Chlor Alkali Products and Vinyls Epoxy and Winchester The Chlor Alkali Products and Vinyls segment offers chlorine and caustic soda ethylene dichloride and vinyl chloride monomers methyl chloride methylene chloride chloroform carbon tetrachloride perchloroethylene hydrochloric acid hydrogen bleach products potassium hydroxide and chlorinated organics intermediates and solvents The Epoxy segment provides Allylics such as allyl chloride epichlorohydrin and glycerin aromatics including acetone bisphenol cumene and phenol liquid and solid epoxy resins and converted epoxy resins and additives The Winchester segment offers sporting ammunition products including shotshells small caliber centerfire and rimfire ammunition products for hunters and recreational shooters and law enforcement agencies small caliber military ammunition products for use in infantry and mounted weapons and industrial products comprising gauge loads and powderactuated tool loads for maintenance applications in power and concrete industries and powderactuated tools in construction industry The company markets its products through its sales force as well as directly to various industrial customers mass merchants retailers wholesalers gun clubs other distributors and the US Government and its prime contractors Olin Corporation was incorporated in 1892 and is based in Clayton Missouri
OLO,Technology,Software - Application,683,Olo Inc operates an open SaaS platform for restaurants in the United States The companys platform enables ondemand digital commerce operations which cover digital ordering delivery frontofhouse management and payments Its solutions include Order a suite of solutions powering restaurant brands ondemand commerce operations enabling digital ordering delivery and channel management through ordering dispatch rails switchboard network virtual brands kiosk catering and sync modules Engage a suite of restaurantcentric marketing solutions optimizing guest lifetime value by strengthening and enhancing the restaurants direct guest relationships through the guest data platform marketing sentiment and host modules and Pay a frictionless payment platform that enables restaurants to grow and protect their digital business through customer payment experience that offers advanced fraud prevention to improve authorization rates for valid transactions and increase basket conversion through its Olo Pay module The company was formerly known as Mobo Systems Inc and changed its name to Olo Inc in January 2020 Olo Inc was incorporated in 2005 and is headquartered in New York New York
OLPX,Consumer Cyclical,Specialty Retail,233,Olaplex Holdings Inc develops manufactures and sells hair care products in the United States and internationally The company offers hair care shampoos and conditioners for use in treatment maintenance and protection of hair as well as oil moisture mask and nourishing hair serum It provides hair care products to professional hair salons retailers and everyday consumers The company distributes its products through professional distributors in salons directly to retailers for sale in their physical stores ecommerce sites and its website Olaplexcom as well as third party ecommerce platforms The company was founded in 2014 and is based in Santa Barbara California
OMAB,Industrials,Airports & Air Services,1119,Grupo Aeroportuario del Centro Norte SAB de CV together with its subsidiaries holds concessions to develop operate and maintain airports in Mexico The company operates 13 international airports in Monterrey Acapulco Mazatln Zihuatanejo Ciudad Jurez Reynosa Chihuahua Culiacn Durango San Luis Potos Tampico Torren and Zacatecas cities It also operates the NH Collection Hotel in Terminal 2 of the Mexico City International Airport a hotel under the Hilton Garden Inn name at the Monterrey International Airport OMAVYNMSA Industrial Park comprising warehouses and OMA Carga Bonded Warehouse for ground transportation In addition the company provides aeronautical services which include passenger aircraft landing and parking boarding and unloading passenger walkway and airport security services Further it offers complementary services that comprise leasing of space to airlines cargo handling baggagescreening permanent and nonpermanent ground transportation and access rights services nonaeronautical services such as leasing of space at its airports to retailers restaurants and other commercial tenants as well as maintaining and operation of parking facilities and advertising and diversification services which consists of operation and lease of the industrial park and real estate services as well as OMA Carga hotel and air cargo logistics services Additionally the company provides construction services It has a strategic alliance with VYNMSA Desarrollo Inmobiliario SA de CV to build and operate an industrial park at the Monterrey airport The company was incorporated in 1998 and is headquartered in Mexico City Mexico
OMC,Communication Services,Advertising Agencies,74900,Omnicom Group Inc together with its subsidiaries offers advertising marketing and corporate communications services It provides a range of services in the areas of media and advertising precision marketing public relations healthcare branding and retail commerce experiential execution and support The companys services include advertising branding content marketing corporate social responsibility consulting crisis communications custom publishing data analytics database management digitaldirect marketing and postproduction digital transformation consulting entertainment marketing experiential marketing field marketing sales support financialcorporate businesstobusiness advertising graphic artsdigital imaging healthcare marketing and communications and instore design services Its services also comprise interactive marketing investor relations marketing research media planning and buying retail media planning and buying merchandising and point of sale mobile marketing multicultural marketing nonprofit marketing organizational communications package design product placement promotional marketing public affairs public relations retail marketing retail media and ecommerce search engine marketing shopper marketing social media marketing and sports and event marketing services It operates in the North and Latin America Europe the Middle East and Africa EMEA and the Asia Pacific The company was incorporated in 1944 and is based in New York New York
OMCL,Healthcare,Health Information Services,None,Omnicell Inc together with its subsidiaries provides medication management solutions and adherence tools for healthcare systems and pharmacies the United States and internationally The company offers point of care automation solutions to improve clinician workflows in patient care areas of the healthcare system XT Series automated dispensing systems for medications and supplies used in nursing units and other clinical areas of the hospital as well as specialized automated dispensing systems for operating room and robotic dispensing systems for handling the stocking and retrieval of boxed medications It also provides central pharmacy automation solutions IV compounding robots and inventory management software In addition the company provides singledose automation solutions that fill and label a variety of patientspecific singledose medication blister packaging based on incoming prescriptions fully automated and semiautomated filling equipment for institutional pharmacies to warrant automated packaging of medications and medication blister card packaging and packaging supplies to enhance medication adherence in nonacute care settings Further it offers EnlivenHealth Patient Engagement a webbased solutions The company was formerly known as Omnicell Technologies Inc and changed its name to Omnicell Inc in 2001 Omnicell Inc was incorporated in 1992 and is headquartered in Fort Worth Texas
OMF,Financial Services,Credit Services,9000,OneMain Holdings Inc a financial service holding company engages in the consumer finance and insurance businesses in the United States The company originates underwrites and services personal loans secured by automobiles other titled collateral or unsecured It also offers secured auto financing credit cards optional credit insurance products including life disability and involuntary unemployment insurance optional noncredit insurance guaranteed asset protection coverage as a waiver product or insurance and membership plans The company provides personal loans through its branch network central operations digital affiliates and its website The company was formerly known as Springleaf Holdings Inc and changed its name to OneMain Holdings Inc in November 2015 OneMain Holdings Inc was founded in 1912 and is based in Evansville Indiana
ON,Technology,Semiconductors,26400,ON Semiconductor Corporation provides intelligent sensing and power solutions in the United States and internationally The company operates through three segments Power Solutions Group Analog and MixedSignal Group and Intelligent Sensing Group The Power Solutions Group segment offers discrete module and integrated semiconductor products that perform multiple application functions including power switching signal conditioning and circuit protection The Analog and MixedSignal Group segment designs and develops analogues mixedsignal power management ICs sensor interface devices power conversion signal chain and voltage regulation devices for endusers in the automotive industrial computing and mobile endmarkets The Intelligent Sensing Group segment designs and develops complementary metal oxide semiconductor image sensors image signal processors single photon detectors including silicon photomultipliers single photon avalanche diode arrays and shortwavelength infrared products as well as actuator drivers for autofocus and image stabilization for a broad base of endusers in the different endmarkets ON Semiconductor Corporation was incorporated in 1992 and is headquartered in Scottsdale Arizona
ONB,Financial Services,Banks - Regional,4066,Old National Bancorp operates as the bank holding company for Old National Bank that provides various financial services to individual and commercial customers in the United States It accepts deposit accounts including noninterestbearing demand interestbearing checking negotiable order of withdrawal savings and money market and time deposits and offers loans such as home equity lines of credit residential real estate loans consumer loans commercial loans commercial real estate loans agricultural loans letters of credit and lease financing The company also provides debit and automated teller machine cards telephone access online banking and other electronic and mobile banking services cash management private banking brokerage trust investment advisory and other traditional banking services wealth management investment and foreign currency services and treasury management merchant and capital markets services as well as community development lending and equity investment solutions The company was founded in 1834 and is headquartered in Evansville Indiana
ONBPO,Financial Services,Banks - Regional,4066,Old National Bancorp operates as the bank holding company for Old National Bank that provides various financial services to individual and commercial customers in the United States It accepts deposit accounts including noninterestbearing demand interestbearing checking negotiable order of withdrawal savings and money market and time deposits and offers loans such as home equity lines of credit residential real estate loans consumer loans commercial loans commercial real estate loans agricultural loans letters of credit and lease financing The company also provides debit and automated teller machine cards telephone access online banking and other electronic and mobile banking services cash management private banking brokerage trust investment advisory and other traditional banking services wealth management investment and foreign currency services and treasury management merchant and capital markets services as well as community development lending and equity investment solutions The company was founded in 1834 and is headquartered in Evansville Indiana
ONBPP,Financial Services,Banks - Regional,4066,Old National Bancorp operates as the bank holding company for Old National Bank that provides various financial services to individual and commercial customers in the United States It accepts deposit accounts including noninterestbearing demand interestbearing checking negotiable order of withdrawal savings and money market and time deposits and offers loans such as home equity lines of credit residential real estate loans consumer loans commercial loans commercial real estate loans agricultural loans letters of credit and lease financing The company also provides debit and automated teller machine cards telephone access online banking and other electronic and mobile banking services cash management private banking brokerage trust investment advisory and other traditional banking services wealth management investment and foreign currency services and treasury management merchant and capital markets services as well as community development lending and equity investment solutions The company was founded in 1834 and is headquartered in Evansville Indiana
ONON,Consumer Cyclical,Footwear & Accessories,2353,On Holding AG engages in the development and distribution of sports products worldwide The company offers athletic footwear apparel and accessories for highperformance running outdoor training allday activities and tennis It offers its products through independent retailers and distributors online and stores The company was founded in 2010 and is headquartered in Zurich Switzerland
ONTO,Technology,Semiconductor Equipment & Materials,None,Onto Innovation Inc engages in the design development manufacture and support of process control tools that performs optical metrology The company offers lithography systems and process control analytical software It also offers process and yield management solutions and device packaging and test facilities through standalone systems for optical metrology macrodefect inspection packaging lithography and transparent and opaque thin film measurements In addition the company provides process control software portfolio that includes solutions for standalone tools groups of tools and enterpriseor factorywide suites Further it engages in systems software spare parts and other services as well as offers software licensing services The companys products are used in semiconductor and advanced packaging device manufacturers silicon wafer light emitting diode verticalcavity surfaceemitting laser microelectromechanical system CMOS image sensor power device analog device RF filter data storage and various industrial and scientific applications Onto Innovation Inc was founded in 1940 and is headquartered in Wilmington Massachusetts
OPCH,Healthcare,Medical Care Facilities,7500,Option Care Health Inc offers home and alternate site infusion services in the United States The company provides antiinfective therapies home infusion services to treat heart failures home parenteral nutrition and enteral nutrition support services for numerous acute and chronic conditions such as stroke cancer and gastrointestinal diseases immunoglobulin infusion therapies for the treatment of immune deficiencies and treatments for chronic inflammatory disorders including crohns disease plaque psoriasis psoriatic arthritis rheumatoid arthritis ulcerative colitis and other chronic inflammatory disorders It also offers treatments to manage the progression of neurological disorders such as multiple sclerosis duchenne muscular dystrophy and other neurological disorder infusion therapies for bleeding disorders such as hemophilia and von Willebrand diseases therapies for women with highrisk pregnancies and other infusion therapies to treat various conditions including pain management chemotherapy and respiratory medications as well as nursing services The company markets its services through patient referrals including physicians hospital discharge planners hospital personnel health maintenance organizations and preferred provider organizations Option Care Health Inc is headquartered in Bannockburn Illinois
OPEN,Real Estate,Real Estate Services,1982,Opendoor Technologies Inc operates a digital platform for residential real estate transactions in the United States It buys and sells homes The companys product offerings comprise sell to opendoor product that enables homeowners to sell their home directly to it and resell the home to a home buyer list with opendoor product that allows customers to list their home on the MLS with opendoor and receive cash offer and opendoor marketplace product that connects the home seller with an institutional or retail buyer It also provides real estate brokerage title insurance and settlement and escrow services as well as property and casualty insurance real estate licenses and construction services Opendoor Technologies Inc was incorporated in 2013 and is based in Tempe Arizona
OPK,Healthcare,Diagnostics & Research,3930,OPKO Health Inc a healthcare company engages in the diagnostics and pharmaceuticals businesses in the United States Ireland Spain Chile Israel Mexico and internationally The companys Diagnostics segment operates BioReference Laboratories that offers laboratory testing services for the detection diagnosis evaluation monitoring and treatment of diseases including esoteric testing molecular diagnostics anatomical pathology genetics womens health and correctional healthcare to physician offices clinics hospitals employers and governmental units and 4Kscore prostate cancer test Its Pharmaceutical segment offers Rayaldee to treat secondary hyperparathyroidism in adults with stage 3 or 4 chronic kidney disease and vitamin D insufficiency This segment also develops multispecific immune therapies focused on oncology infectious diseases vaccines and immunology OPK88004 an orally administered selective androgen receptor modulator OPK88003 a onceweekly administered peptide for the treatment of type 2 diabetes and related obesity Somatrogon hGHCTP a onceweekly human growth hormone injection and Factor VIIaCTP a novel longacting coagulation factor being developed to treat hemophilia In addition it develops and commercializes longeracting proprietary versions of already approved therapeutic proteins develops and produces specialty APIs develops manufactures markets and sells pharmaceutical nutraceutical veterinary and ophthalmic products commercializes food supplements and over the counter products manufactures and sells products primarily in the generics market and markets distributes and sells pharmaceutical products in a range of indications including cardiovascular products vaccines antibiotics gastrointestinal products hormones and others The company also operates pharmaceutical platforms in Ireland Chile Spain and Mexico The company was founded in 2007 and is headquartered in Miami Florida
OPRA,Communication Services,Internet Content & Information,592,Opera Limited together with its subsidiaries provides mobile and PC web browsers and related products and services in Norway and internationally The company offers mobile browser products such as Opera Mini Opera browser for Android and iOS and Opera GX for PCs and Mobile Opera Touch PC browsers including Opera for Computers and Opera GX Apex Football Opera VPN Pro and Opera News an AIpowered personalized news discovery and aggregation service It provides Opera Crypto Browser for PCs and mobile browserbased cashback rewards programs owns GameMaker Studio a 2D gaming development platform and GXC a gaming portal In addition the company operates Opera Ads an online advertising platform and offers Web3 and ecommerce services Opera Limited was founded in 1995 and is headquartered in Oslo Norway Opera Limited is a subsidiary of Kunlun Tech Limited
OR,Basic Materials,Gold,None,Osisko Gold Royalties Ltd acquires and manages precious metal and other royalties streams and other interests in Canada and internationally It also owns options on offtake royaltystream financings and exclusive rights to participate in future royaltystream financings on various projects The companys primary asset is a 35 net smelter return royalty on the Canadian Malartic complex located in Canada In addition it is involved in the exploration evaluation and development of mining projects It primarily explores for precious metals including gold silver diamond and others Osisko Gold Royalties Ltd was founded in 2014 and is headquartered in Montreal Canada
ORA,Utilities,Utilities - Renewable,1576,Ormat Technologies Inc engages in the geothermal and recovered energy power business in the United States Indonesia Kenya Turkey Chile Guatemala Guadeloupe New Zealand Honduras and internationally It operates in three segments Electricity Product and Energy Storage The Electricity segment develops builds owns and operates geothermal solar photovoltaic and recovered energybased power plants and sells electricity The Product segment designs manufactures and sells equipment for geothermal and recovered energybased electricity generation and provides services relating to the engineering procurement construction operation and maintenance of geothermal and recovered energybased power plants This segment serves contractors and owners and operators of interstate natural gas pipelines gas processing plants and cement plants as well as companies in other energyintensive industrial processes The Energy Storage segment offers battery energy storage systems and related services Ormat Technologies Inc was founded in 1965 and is headquartered in Reno Nevada
ORCL,Technology,Software - Infrastructure,159000,Oracle Corporation offers products and services that address enterprise information technology environments worldwide Its Oracle cloud software as a service offering include various cloud software applications including Oracle Fusion cloud enterprise resource planning ERP Oracle Fusion cloud enterprise performance management Oracle Fusion cloud supply chain and manufacturing management Oracle Fusion cloud human capital management Oracle Cerner healthcare and NetSuite applications suite as well as Oracle Fusion Sales Service and Marketing The company also offers cloudbased industry solutions for various industries Oracle application licenses and Oracle license support services In addition it provides cloud and license business infrastructure technologies such as the Oracle Database and MySQL Database Java a software development language and middleware including development tools and others The companys cloud and license business infrastructure technologies also comprise cloudbased compute storage and networking capabilities and Oracle autonomous database and MySQL HeatWave as well as InternetofThings digital assistant and blockchain Further it provides hardware products and other hardwarerelated software offerings including Oracle engineered systems enterprise servers storage solutions industryspecific hardware virtualization software operating systems management software and related hardware services as well as hardware support products and consulting and customer services The company markets and sells its cloud license hardware support and services offerings directly to businesses in various industries government agencies and educational institutions as well as through indirect channels Oracle Corporation was founded in 1977 and is headquartered in Austin Texas
ORI,Financial Services,Insurance - Property & Casualty,None,Old Republic International Corporation through its subsidiaries engages in the insurance underwriting and related services business primarily in the United States and Canada It operates through three segments General Insurance Title Insurance and Republic Financial Indemnity Group Runoff Business The General Insurance segment offers aviation commercial auto commercial multiperil commercial property general liability home and auto warranty inland marine travel accident and workers compensation insurance products and financial indemnity products for specialty coverages including errors and omissions fidelity directors and officers and surety This segment provides its insurance products to businesses state and local government and other institutions in transportation commercial construction healthcare education retail and wholesale trade forest products energy general manufacturing and financial services industries The Title Insurance segment offers lenders and owners policies to real estate purchasers and investors based upon searches of the public records This segment also provides escrow closing and construction disbursement services and real estate information products national default management services and various other services pertaining to real estate transfers and loan transactions The Republic Financial Indemnity Group Runoff Business segment offers private mortgage insurance coverage that protects mortgage lenders and investors from default related losses on residential mortgage loans made primarily to homebuyers Old Republic International Corporation was founded in 1923 and is based in Chicago Illinois
ORLA,Basic Materials,Gold,327,Orla Mining Ltd acquires explores develops and exploits mineral properties The company explores for gold silver zinc lead and copper deposits It owns 100 interests in the Camino Rojo project that consists of seven concessions covering an area of 138636 hectares located in Zacatecas Mexico Cerro Quema project totaling an area of 15000 hectares located in the Azuero Peninsula Panama and the South Railroad project consisting of an area of 21000 hectares located in Elko Nevada It also holds interest in acquisition of the Musselwhite Gold Mine project located in Ontario Canada The company was formerly known as Red Mile Minerals Corp and changed its name to Orla Mining Ltd in June 2015 Orla Mining Ltd was incorporated in 2007 and is headquartered in Vancouver Canada
ORLY,Consumer Cyclical,Specialty Retail,93176,OReilly Automotive Inc together with its subsidiaries operates as a retailer and supplier of automotive aftermarket parts tools supplies equipment and accessories in the United States Puerto Rico and Mexico The company provides new and remanufactured automotive hard parts and maintenance items such as alternators batteries brake system components belts chassis parts driveline parts engine parts fuel pumps hoses starters temperature control water pumps antifreeze appearance products engine additives filters fluids lighting products and oil and wiper blades and accessories including floor mats seat covers and truck accessories It also offers auto body paint and related materials automotive tools and professional service provider service equipment In addition the company provide enhanced services and programs comprising used oil oil filter and battery recycling battery wiper and bulb replacement battery diagnostic testing electrical and module testing check engine light code extraction loaner tool program drum and rotor resurfacing custom hydraulic hoses and professional paint shop mixing and related materials Further it offers doityourself and professional service for domestic and imported automobiles vans and trucks The company was founded in 1957 and is headquartered in Springfield Missouri
OS,Technology,Software - Infrastructure,1500,OneStream Inc develops corporate performance management software solutions primarily to perform financial statement consolidation and planning and budgeting Its solutions include financial close and consolidation that streamlines financial processes with capabilities designed to automate tasks and manage the complexity and standards of financial reporting and consolidation financial and operational planning and analysis that enables financial and operational planning budgeting forecasting and results analysis for individual business functions and the synchronization of plans across the entire organization and financial and operational reporting that provides endtoend visibility of analytics and key metrics to various stakeholders including executives Finance professionals lineofbusiness leaders and other business partners Its customers include global enterprises midmarket organizations and government entities in the United States and internationally The company was founded in 2012 and is based in Birmingham Michigan
OSCR,Healthcare,Healthcare Plans,None,Oscar Health Inc operates as a health insurance in the United States The company offers health plans in individual and small group markets as well as Oscar a technology driven platform that help providers and payors directly enable their shift to valuebased care It also provides reinsurance products The company was formerly known as Mulberry Health Inc and changed its name to Oscar Health Inc in January 2021 Oscar Health Inc was incorporated in 2012 and is headquartered in New York New York
OSIS,Technology,Electronic Components,6681,OSI Systems Inc designs and manufactures electronic systems and components It operates in three segments Security Healthcare and Optoelectronics and Manufacturing The Security segment offers baggage and parcel inspection cargo and vehicle inspection hold baggage and people screening radiation monitoring explosive and narcotics trace detection systems and optical inspection systems under the Rapiscan name It also provides site design installation training and technical support services and turnkey security screening solutions under the S2 name The Healthcare segment offers patient monitoring cardiology and remote monitoring and connected care systems and accessories under the Spacelabs name for use in critical care emergency and perioperative areas within hospitals physicians offices medical clinics and ambulatory surgery centers The Optoelectronics and Manufacturing segment provides optoelectronic devices under the OSI Optoelectronics OSI LaserDiode OSI Laserscan and Advanced Photonix names for the aerospace and defense avionics medical imaging and diagnostics biochemistry analysis pharmaceutical nanotechnology telecommunications construction and homeland security markets It also offers electronics manufacturing services to original equipment manufacturers and end users for medical automotive defense aerospace industrial and consumer applications under the OSI Electronics APlus Products Altaflex and PFC Flexible Circuits names LCD displays for medical industrial and consumer electronics applications and flex circuits for OEM customers This segment offers laserbased remote sensing devices to detect and classify vehicles in toll and traffic management systems under the OSI Laserscan and Autosense names and solidstate laser products for aerospace telecommunication defense and medical applications under the OSI LaserDiode name The company was incorporated in 1987 and is headquartered in Hawthorne California
OSK,Industrials,Farm & Heavy Construction Machinery,18000,Oshkosh Corporation provides purposebuilt vehicles and equipment worldwide The company operates through three segments Access Defense and Vocational segment Its Access Equipment segment design and manufacture aerial work platform and telehandlers for use in construction industrial and maintenance applications offers financing and leasing solutions including rental fleet loans leases and floor plan and retail financing and towing and recovery equipment which includes carriers wreckers and rotators as well as provides equipment installation and sale of chassis and service parts The Defense segment engages in the manufacture and sale of heavy medium and light tactical wheeled vehicles and related services for department of defense Its Vocational segment offers custom and commercial firefighting equipment fire apparatus and emergency vehicles including pumpers aerial platform ladder and tiller trucks and tankers light medium and heavyduty rescue vehicles and wildland rough terrain response bomb squad hazardous materials control vehicles mobile command and control centers and other emergency response vehicles Additionally this segment produces and sells custom and commercial firefighting vehicles as well as command vehicles ARFF vehicles design and manufacture refuse collection vehicles for waste services industry front discharge concrete mixers for the concrete readymix industry and field service vehicles and truckmounted cranes for construction equipment dealer building supply utility tire service railroad and mining industries Further the company provides its products through direct sales representatives dealers and distributors Oshkosh Corporation was formerly known as Oshkosh Truck Corporation The company was founded in 1917 and is headquartered in Oshkosh Wisconsin
OSW,Consumer Cyclical,Leisure,None,OneSpaWorld Holdings Limited operates health and wellness centers onboard cruise ships and at destination resorts worldwide Its health and wellness centers offer services such as traditional body salon and skin care services and products selfservice fitness facilities specialized fitness classes and personal fitness training pain management detoxifying programs and body composition analyses weight management programs and products and medispa services The company also provides its guests access to beauty and wellness brands including ELEMIS Grown Alchemist Krastase Dysport Restylane Thermage CoolSculpting truSculpt 3D truSculpt iD Good Feet and Hyperice with various brands offered in the cruise market The company is based in Nassau Bahamas
OTEX,Technology,Software - Application,21800,Open Text Corporation engages in the provision of information management products and services The company offers content services including content collaboration and intelligent capture to records management collaboration esignatures and archiving and operates experience cloud platform that provides customer experience and web content management digital asset management customer analytics AI and insights ediscovery digital fax omnichannel communications secure messaging and voice of customer as well as customer journey testing and segmentation It also provides cybersecurity cloud solutions to protect prevent detect respond and quickly recover from threats across endpoints network applications IT infrastructure and data AIled threat intelligence and to protect critical information and processes through threat intelligence forensics identity encryption and cloudbased application security In addition the company offers business network cloud for digital supply chains and secure ecommerce ecosystems including digitize and automate procuretopay and ordertocash processes IT operations management cloud for automation and advancement of IT support and asset management analytics and AI cloud solutions that offers artificial intelligence with practical usage to provide organizations with actionable insights and better automation such as visualizations advanced natural language processing and understanding and integrated computer vision capabilities and provides application automation cloud developers cloud and services Further it has strategic partnerships with SAP SE Google Cloud Amazon AWS Microsoft Corporation Oracle Corporation Salesforcecom Corporation DXC Technology Company Accenture plc Capgemini Technology Services SAS Deloitte Consulting LLP Hewlett Packard Enterprises and Tata Consultancy Services The company was incorporated in 1991 and is headquartered in Waterloo Canada
